                                                        mem       ncpus   nmics   ngpus
vnode           state           njobs   run   susp      f/t        f/t     f/t     f/t   jobs
compute-0-62    free                 0     0      0    63gb/63gb   12/12     0/0     0/0 --
compute-0-282   free                 5     5      0    63gb/63gb   35/40     0/0     0/0 3871523,3871611,3871653,3871731,3871770
compute-0-287   free                10    10      0  232gb/251gb   54/64     0/0     0/0 3136123,3132445,3132700,3132586,3132434,3132508,3136226,3132650,3132577,3132644
compute-0-292   free                 1     1      0  126gb/126gb   27/28     0/0     0/0 3127290
compute-0-283   free                 6     6      0    63gb/63gb   34/40     0/0     0/0 3871433,3871481,3871516,3871547,3871581,3871769
compute-0-285   free                10    10      0    63gb/63gb   30/40     0/0     0/0 3871535,3871551,3871569,2797259,3871609,3871630,3871670,3871694,3871745,3871765
compute-0-288   free                12    12      0  228gb/251gb   52/64     0/0     0/0 3132374,3136122,3132446,3132698,3132437,3132506,3132518,3136224,3136231,3132699,3132578,3132643
compute-0-197   free                 1     1      0    62gb/62gb   27/28     0/0     0/0 3442405
compute-0-289   free                 8     8      0  236gb/251gb   56/64     0/0     0/0 3132444,3132587,3132435,3132507,3136223,3136230,3132579,3132641
compute-0-65    down                 0     0      0    63gb/63gb   12/12     0/0     0/0 --
compute-0-290   free                 9     9      0  234gb/251gb   55/64     0/0     0/0 3132373,3132436,3132505,3132509,3132519,3136228,3132576,3132642,3132651
